objectid,osm_id,fcode,facility_type,name,subdistrict,district,state,country,longitude,latitude
218522,1268305324,7204,Industrial,,Srivaikuntam,Thoothukkudi,Tamil Nadu,India,77.94374613834728,8.660807774869738
218571,1233330618,7204,Industrial,,Tiruporur,Chengalpattu,Tamil Nadu,India,80.19125963162583,12.691975578927217
218652,1332941562,7204,Industrial,,Belagavi,Belagavi,Karnataka,India,74.44416991626645,15.857980922993583
218653,1262529561,7204,Industrial,,Manur,Tirunelveli,Tamil Nadu,India,77.63095454368865,8.873508696245088
218747,1223151578,7204,Industrial,,Srirangam,Tiruchirappalli,Tamil Nadu,India,78.74060472076786,10.851115021045928
218802,1284365652,7204,Industrial,,Ozili,Tirupati,Andhra Pradesh,India,79.88011345911534,14.021429573675789
218815,1200036606,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.99077710606164,12.95482312332799
218816,1315634904,7214,Quarry,,Vepada,Vizianagaram,Andhra Pradesh,India,83.04040309697044,18.020598870426113
218852,1236975739,7204,Industrial,,Poonamallee,Thiruvallur,Tamil Nadu,India,80.07551749310763,13.08348335528675
218963,1260749858,7204,Industrial,,Kudligi,Vijayanagara,Karnataka,India,76.52136078048176,14.611332561167771
218971,1419165123,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.67382022810587,13.053582634376681
218989,1426588721,7214,Quarry,,Yelahanka,Bengaluru Urban,Karnataka,India,77.628714138925,13.107373179793509
219013,1425974110,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.90364534730855,12.918804259874717
219020,1443196006,7204,Industrial,,Maheshwaram,Ranga Reddy,Telangana,India,78.41506109644874,17.13098132566836
219160,1266488156,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.67262515254282,13.037196851899527
219165,1499989831,7204,Industrial,,Harohalli,Bengaluru South,Karnataka,India,77.44384148723803,12.697491128190428
219202,1205164065,7214,Quarry,,Chilamathur,Sri Sathya Sai,Andhra Pradesh,India,77.65943173685034,13.809904273717377
219213,1205247946,7214,Quarry,,Tanakal,Sri Sathya Sai,Andhra Pradesh,India,78.27827613927109,13.906683128057308
219277,1426149665,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.90563468488423,12.916688417864384
219308,1263991426,7204,Industrial,,Talikoti,Vijayapura,Karnataka,India,76.3102230352568,16.51651421214011
219379,1200036572,7204,Industrial,,Sriperumbudur,Kancheepuram,Tamil Nadu,India,79.98884496561226,12.952623662368978
219400,1243491022,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.53373394504825,13.17145006393646
219436,1247322353,7204,Industrial,,Edlapadu,Palnadu,Andhra Pradesh,India,80.19692091846059,16.14022197406824
219451,1265721195,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.51477670725802,12.936943319090519
219473,1273839999,7204,Industrial,,Yelahanka,Bengaluru Urban,Karnataka,India,77.56769884517617,13.157387988367542
219483,1338543712,7204,Industrial,,Hosur,Krishnagiri,Tamil Nadu,India,77.8551895395955,12.787002070180192
219517,199203590,7204,Industrial,,Jaswan,Kangra,Himachal Pradesh,India,75.9219804419881,31.931392568204483
